,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,neighbourhood,room_type,reviews_per_month,is_zero,price
1,3.1447279205295775,0.16968955254088564,-0.615766718116943,1.0810291596931811,0,3,1,1,0,-0.45865743822591243
2,-0.28566568920412194,0.23681110143711945,-0.6005194201262585,1.0810291596931811,2,25,1,1,0,-0.6748945173285302
3,-0.48985578502160404,0.03544645474841798,-0.49378833419146734,0.9988247411764375,1,22,1,1,0,0.7423880105849856
4,-0.48985578502160404,0.30393265033335326,-0.49378833419146734,1.0125254775958947,1,22,1,1,0,-0.26050298270732836
5,-0.48985578502160404,0.8744658159513408,-0.49378833419146734,0.950872163708337,1,22,1,1,0,-0.1273439904127105
6,-0.48985578502160404,0.40461497367770405,-0.49378833419146734,-0.24109190478444603,1,22,1,1,0,0.7543019003060558
7,3.1447279205295775,5.405170366447123,-0.5700248241448896,-1.015183512483782,1,0,1,1,0,-1.1177742730289981
8,3.1447279205295775,6.21062895320193,-0.5700248241448896,-0.5082562649638629,1,0,1,1,0,-1.0109336460883247
9,3.1447279205295775,7.485938382230373,-0.5700248241448896,-0.41235111002766195,1,0,1,1,0,-1.3621069135977362
10,0.08187648326734581,0.16968955254088564,-0.14310048040572496,0.8481166405624074,0,2,1,1,0,-1.2966096828489873
11,0.6944467707197922,-0.09879664304404967,-0.14310048040572496,0.47134638902733234,0,2,1,1,0,-1.431034904530022
12,-0.44901776585810765,-0.031675094147815844,-0.49378833419146734,0.21788276526737274,1,22,1,1,0,1.584495799210865
13,-0.44901776585810765,3.7606924184893953,-0.5395302281635207,0.8823684816110506,0,13,1,1,0,-0.7561598477691813
14,0.6944467707197922,0.0018856803003010688,-0.14310048040572496,0.9097699544499652,0,2,1,1,0,-1.2966096828489873
15,0.6944467707197922,-0.09879664304404967,-0.14310048040572496,0.8481166405624074,0,2,1,1,0,-1.431034904530022
16,3.1447279205295775,-0.3337220641808681,-0.14310048040572496,1.0536276868542667,0,2,1,1,0,-1.7948952880831468
17,-0.44901776585810765,1.0758304626400421,-0.49378833419146734,1.026226214015352,1,22,1,1,0,-1.145924162477786
18,3.1447279205295775,-0.4344043875252188,-0.615766718116943,-0.23424153657471738,0,6,1,0,0,-0.45865743822591243
19,-0.44901776585810765,2.384700666116602,-0.5395302281635207,0.9097699544499652,0,13,1,1,0,-0.8656942980000635
20,-0.44901776585810765,4.834637200829136,-0.5395302281635207,0.9714232683375229,0,13,1,1,0,-0.8656942980000635
21,3.1447279205295775,0.47173652257393783,-0.615766718116943,1.0741787914834524,0,18,1,1,0,-0.960665920699203
22,-0.48985578502160404,0.10256800364465181,-0.49378833419146734,0.6357552260608197,1,22,1,1,0,-0.1273439904127105
24,-0.44901776585810765,0.3374934247814702,-0.585272122135574,0.9440217954986084,4,9,1,1,0,-1.0368250819688436
25,-0.3673417275311148,-0.06523586859593275,-0.615766718116943,1.0604780550639952,0,3,0,1,0,1.0984288758585599
27,3.1447279205295775,0.5052972970220547,-0.615766718116943,-0.8028220979821944,0,3,1,1,0,-0.1788660642891666
28,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,17,2,0,1,0.7543019003060558
30,-0.44901776585810765,2.888112282838356,-0.615766718116943,-1.3714026593896713,1,0,0,1,0,0.5468207416027007
31,-0.44901776585810765,1.8477282749467312,-0.5547775261542052,-0.27534374583308924,0,11,1,1,0,0.4658148933636851
32,-0.48985578502160404,0.77378349260699,-0.615766718116943,-1.4193552368577718,3,20,1,1,1,-1.2966096828489873
33,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,1,25,1,0,1,0.7423880105849856
34,3.22640395885657,1.176512785984393,-0.615766718116943,-0.19313932731634556,0,24,1,1,0,-1.0902235068228938
35,3.1447279205295775,-0.367282838628985,1.0766833588490312,1.0810291596931811,0,16,1,1,0,-1.2966096828489873
36,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,3,25,1,0,0,0.48097341192518445
37,-0.4081797466946112,-0.4344043875252188,-0.615766718116943,1.0810291596931811,0,17,1,0,0,0.14250515158150223
38,-0.48985578502160404,-0.40084361307710187,-0.615766718116943,-1.4193552368577718,0,23,0,1,1,3.525617088166479
39,0.6944467707197922,0.0018856803003010688,-0.14310048040572496,0.8481166405624074,0,2,1,1,0,-1.431034904530022
40,-0.44901776585810765,0.8073442670551069,-0.5547775261542052,0.09457613749225725,0,11,0,1,0,1.1981576598797081
41,-0.44901776585810765,1.8477282749467312,-0.5547775261542052,-0.23424153657471738,0,11,1,1,0,0.3453183857955281
42,1.9195873456246848,-0.1323574174921666,-0.585272122135574,0.8686677451915934,0,23,0,1,0,0.7058740726089446
43,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,1,0,1,0,0,1.107095358716472
44,-0.48985578502160404,-0.367282838628985,-0.615766718116943,0.005521350765784954,0,2,1,1,0,0.3453183857955281
45,0.6944467707197922,0.23681110143711945,-0.585272122135574,1.0536276868542667,3,7,1,1,0,-1.3621069135977362
47,3.1447279205295775,-0.3337220641808681,1.0766833588490312,-1.4193552368577718,0,16,1,1,1,-0.7561598477691813
48,0.6944467707197922,-0.09879664304404967,-0.585272122135574,0.4165434433495032,3,7,1,1,0,-1.431034904530022
49,-0.3265037083676184,0.03544645474841798,-0.615766718116943,-0.43975258286657654,0,14,0,1,0,0.9446234539383759
50,0.20439054075783505,-0.23303974083651732,1.0766833588490312,1.0399269504348094,0,6,1,1,0,-1.6208806739813264
51,-0.48985578502160404,0.40461497367770405,-0.615766718116943,0.9029195862402366,3,20,1,1,0,-0.7561598477691813
52,1.9195873456246848,-0.23303974083651732,-0.585272122135574,0.9782736365472515,0,5,0,1,0,0.817668570512714
53,0.6127707323927992,-0.23303974083651732,1.0766833588490312,0.8618173769818648,0,16,1,1,0,-0.8656942980000635
54,-0.48985578502160404,-0.367282838628985,-0.615766718116943,1.0810291596931811,3,25,1,1,0,-0.5442412335607129
55,0.776122809046785,-0.23303974083651732,-0.6005194201262585,0.9029195862402366,3,7,1,1,0,-1.6208806739813264
56,-0.44901776585810765,7.016087539956736,-0.6005194201262585,-1.4193552368577718,0,14,1,1,1,-0.6748945173285302
57,-0.44901776585810765,4.431907907451733,-0.615766718116943,0.156229451379815,0,18,0,1,0,0.2574476057161683
58,-0.4081797466946112,0.06900722919653489,-0.6005194201262585,-0.5219570013833201,4,25,1,1,0,-1.145924162477786
59,0.6944467707197922,1.5792420793617958,-0.585272122135574,0.1219776103311718,3,7,1,1,0,-1.7948952880831468
60,-0.44901776585810765,-0.40084361307710187,-0.615766718116943,1.046777318644538,1,0,1,1,0,-0.6172201223617473
61,0.20439054075783505,-0.367282838628985,1.0766833588490312,1.046777318644538,0,10,1,1,0,-1.145924162477786
62,3.1447279205295775,0.03544645474841798,-0.615766718116943,-1.4193552368577718,0,10,1,1,1,-0.45865743822591243
63,3.1447279205295775,0.5052972970220547,-0.6005194201262585,-0.6041614199000639,0,21,0,1,0,0.8829477678730878
64,-0.1631516317136327,0.5388580714701716,-0.615766718116943,0.478196757237061,0,11,0,1,0,0.642276549556117
65,-0.24482767004062556,0.9751481392956914,-0.34131535428462284,0.8412662723526788,0,23,0,1,0,1.271110641223514
66,-0.24482767004062556,0.5388580714701716,-0.34131535428462284,-1.4193552368577718,0,23,0,1,1,0.3368229103173231
67,-0.24482767004062556,0.5388580714701716,-0.34131535428462284,0.9097699544499652,0,23,0,1,0,0.9295216032354106
68,-0.28566568920412194,-0.09879664304404967,-0.6005194201262585,-1.4193552368577718,0,11,1,1,1,0.2297470860873368
69,3.1447279205295775,-0.30016128973275114,1.0766833588490312,0.7864633266748497,0,16,1,1,0,-0.9122969881431131
70,0.20439054075783505,-0.40084361307710187,1.0766833588490312,0.854967008772136,0,10,1,1,0,-0.960665920699203
71,3.1447279205295775,-0.3337220641808681,1.0766833588490312,1.0193758458056235,0,16,1,1,0,-0.7561598477691813
72,-0.3265037083676184,-0.1994789663884004,-0.49378833419146734,-1.4193552368577718,0,17,1,1,1,-0.8656942980000635
73,-0.3265037083676184,-0.06523586859593275,-0.49378833419146734,0.9303210590791511,0,17,2,1,0,-1.1177742730289981
74,0.6944467707197922,2.351139891668485,-0.46329373821009845,0.9645729001277943,0,6,0,1,0,0.1525233525686886
75,-0.44901776585810765,1.9819713727391988,-0.615766718116943,1.0056751093861662,1,0,1,1,0,-0.6748945173285302
76,3.1447279205295775,-0.3337220641808681,1.0766833588490312,1.0536276868542667,0,16,1,1,0,-0.8656942980000635
77,-0.3673417275311148,-0.23303974083651732,-0.615766718116943,-1.4193552368577718,0,18,0,1,1,1.5363236276363648
78,3.1447279205295775,0.5388580714701716,-0.615766718116943,-0.8987272529183953,0,24,1,1,0,-1.2966096828489873
79,-0.3265037083676184,1.2771951093287437,-0.615766718116943,-0.9124279893378525,0,23,1,1,0,-0.1273439904127105
80,0.20439054075783505,-0.16591819194028348,1.0766833588490312,1.0399269504348094,0,10,1,1,0,-1.431034904530022
81,-0.3265037083676184,0.30393265033335326,-0.615766718116943,-0.9603805668059531,0,10,1,1,0,-0.5442412335607129
82,3.879812265472513,-0.4344043875252188,-0.615766718116943,1.0810291596931811,0,14,1,0,0,-1.7948952880831468
83,0.04103846410384939,-0.4344043875252188,-0.615766718116943,1.0810291596931811,0,10,0,0,0,0.17230853188672163
84,-0.44901776585810765,-0.1323574174921666,-0.051616692461618235,0.9714232683375229,0,15,0,1,0,1.1981576598797081
86,3.1447279205295775,-0.3337220641808681,1.0766833588490312,1.0193758458056235,0,16,1,1,0,-0.7148715577390614
87,-0.44901776585810765,0.47173652257393783,-0.5547775261542052,0.10827687391171453,0,11,1,1,0,0.4658148933636851
88,-0.48985578502160404,-0.4344043875252188,-0.615766718116943,1.0810291596931811,3,25,1,0,0,0.8064095611574682
89,0.04103846410384939,-0.4344043875252188,-0.615766718116943,1.0810291596931811,4,1,1,0,0,-0.4422283019425898
90,-0.44901776585810765,2.183336019427901,-0.6005194201262585,0.9234706908694225,0,14,1,1,0,-0.3329782631610121
91,-0.48985578502160404,-0.367282838628985,-0.5242829301728362,0.17678055600900092,0,19,1,1,0,-0.31813539438102595
92,-0.48985578502160404,-0.40084361307710187,-0.6005194201262585,-1.4193552368577718,0,14,1,1,1,0.17230853188672163
93,-0.48985578502160404,4.062739388522448,-0.5547775261542052,0.6426055942705483,0,16,2,1,0,-1.1177742730289981
94,-0.48985578502160404,-0.367282838628985,-0.5547775261542052,0.4644960208176037,0,16,2,1,0,1.1981576598797081
95,-0.48985578502160404,2.351139891668485,-0.5547775261542052,0.6220544896413623,0,16,2,1,0,-1.1177742730289981
